TIMESTAMP	BYTES	TYPE	IP_SRC	URL	CATEGORIES	USER	USER_AGENT	REFERRER	METHOD	ACTION	RESULT_CODE	DOMAIN
continuous	continuous	discrete	string	string	string	string	string	string	string	string	string	string
		class	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
1464472820.0	400.0	ATTACK	192.168.0.40	http://www.supplytrend.co.uk/eH/	Technology/Internet	user_1168	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0; malware) like Gecko	-	GET	OBSERVED	200	
1464472843.0	400.0	ATTACK	192.168.0.40	http://www.supplytrend.co.uk/eH/	Technology/Internet	user_1168	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0; malware) like Gecko	-	GET	OBSERVED	200	
1464472873.0	400.0	ATTACK	192.168.0.40	http://www.supplytrend.co.uk/eH/	Technology/Internet	user_1168	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0; malware) like Gecko	-	GET	OBSERVED	200	
1464472899.0	400.0	ATTACK	192.168.0.40	http://www.supplytrend.co.uk/eH/	Technology/Internet	user_1168	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0; malware) like Gecko	-	GET	OBSERVED	200	
1464472924.0	400.0	ATTACK	192.168.0.40	http://www.supplytrend.co.uk/eH/	Technology/Internet	user_1168	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0; malware) like Gecko	-	GET	OBSERVED	200	
1464472953.0	400.0	ATTACK	192.168.0.40	http://www.supplytrend.co.uk/eH/	Technology/Internet	user_1168	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0; malware) like Gecko	-	GET	OBSERVED	200	
1464472987.0	400.0	ATTACK	192.168.0.40	http://www.supplytrend.co.uk/eH/	Technology/Internet	user_1168	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0; malware) like Gecko	-	GET	OBSERVED	200	
1464473020.0	400.0	ATTACK	192.168.0.40	http://www.supplytrend.co.uk/eH/	Technology/Internet	user_1168	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0; malware) like Gecko	-	GET	OBSERVED	200	
1464473044.0	400.0	ATTACK	192.168.0.40	http://www.supplytrend.co.uk/eH/	Technology/Internet	user_1168	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0; malware) like Gecko	-	GET	OBSERVED	200	
